#1
#SLP with Hamburg TMY, scaled to 10 MWh yearly demand	
double default(8761,2)	
3769200	2578.928
3772800	2632.04093
3776400	2702.85817
3780000	2838.59123
3783600	2956.61997
3787200	2986.12715
3790800	2980.22572
3794400	2862.19697
3798000	2537.61794
3801600	1823.54405
3805200	1451.75352
3808800	1298.38931
3812400	1337.90551
3816000	1371.77653
3819600	1479.03478
3823200	1761.29332
3826800	2534.68174
3830400	3257.26361
3834000	3031.45678
3837600	2879.03716
3841200	2754.8434
3844800	2625.00447
3848400	2529.03657
3852000	2472.58486
3855600	2466.93969
3859200	2517.74622
3862800	2585.48828
3866400	2715.32721
3870000	2828.23062
3873600	2856.45648
3877200	2850.81131
3880800	2737.90789
3884400	2427.42349
3888000	1744.35781
3891600	1388.71204
3895200	1047.43062
3898800	1079.30894
3902400	1106.63322
3906000	1193.1601
3909600	1420.86241
3913200	2044.76673
3916800	2627.68464
3920400	2445.5228
3924000	2322.56355
3927600	2222.37453
3931200	2117.63147
3934800	2040.21269
3938400	1994.67222
3942000	1990.11818
3945600	2031.10459
3949200	2085.75315
3952800	2190.49621
3956400	2281.57713
3960000	2304.34736
3963600	2299.79332
3967200	2208.71239
3970800	1958.23986
3974400	1407.20027
3978000	1120.29536
3981600	1073.77684
3985200	1090.17038
3988800	1122.95746
3992400	1184.43323
3996000	1364.76216
3999600	1762.3055
4003200	2258.21007
4006800	2090.17629
4010400	2036.89728
4014000	1975.42151
4017600	1913.94574
4021200	1827.87965
4024800	1799.19096
4028400	1782.79742
4032000	1836.07642
4035600	1868.8635
4039200	1971.32312
4042800	2004.1102
4046400	2012.30697
4050000	1983.61828
4053600	1909.84735
4057200	1696.73134
4060800	1303.28639
4064400	1114.76069
4068000	1112.0429
4071600	1129.02066
4075200	1162.97616
4078800	1226.64274
4082400	1413.39804
4086000	1825.10858
4089600	2338.68564
4093200	2164.66366
4096800	2109.48596
4100400	2045.81938
4104000	1982.1528
4107600	1893.01959
4111200	1863.30852
4114800	1846.33077
4118400	1901.50847
4122000	1935.46398
4125600	2041.57494
4129200	2075.53045
4132800	2084.01933
4136400	2054.30826
4140000	1977.90837
4143600	1757.19756
4147200	1349.73146
4150800	1154.48729
4154400	1087.23623
4158000	1103.83526
4161600	1137.03331
4165200	1199.27966
4168800	1381.86895
4172400	1784.39534
4176000	2286.51589
4179600	2116.37587
4183200	2062.42903
4186800	2000.18268
4190400	1937.93633
4194000	1850.79144
4197600	1821.74315
4201200	1805.14412
4204800	1859.09096
4208400	1892.28901
4212000	1996.03292
4215600	2029.23098
4219200	2037.53049
4222800	2008.48219
4226400	1933.78658
4230000	1717.99923
4233600	1319.6226
4237200	1128.7338
4240800	1126.11453
4244400	1143.30712
4248000	1177.6923
4251600	1242.1645
4255200	1431.28297
4258800	1848.20324
4262400	2368.27903
4266000	2192.05501
4269600	2136.17909
4273200	2071.70689
4276800	2007.23468
4280400	1916.97359
4284000	1886.88656
4287600	1869.69397
4291200	1925.56989
4294800	1959.95506
4298400	2067.40874
4302000	2101.79392
4305600	2110.39021
4309200	2080.30318
4312800	2002.93653
4316400	1779.43289
4320000	1366.81077
4323600	1169.096
4327200	1371.66651
4330800	1392.60798
4334400	1434.49093
4338000	1513.02146
4341600	1743.37766
4345200	2251.2084
4348800	2884.68797
4352400	2670.03786
4356000	2601.97808
4359600	2523.44755
4363200	2444.91702
4366800	2334.97429
4370400	2298.32671
4374000	2277.38524
4377600	2345.44503
4381200	2387.32797
4384800	2518.21218
4388400	2560.09513
4392000	2570.56587
4395600	2533.91829
4399200	2439.68166
4402800	2167.4425
4406400	1664.84714
4410000	1424.02019
4413600	1394.0813
4417200	1415.36498
4420800	1457.93235
4424400	1537.74617
4428000	1771.86669
4431600	2287.99603
4435200	2931.82746
4438800	2713.6697
4442400	2644.49773
4446000	2564.68392
4449600	2484.8701
4453200	2373.13076
4456800	2335.88431
4460400	2314.60063
4464000	2383.7726
4467600	2426.33997
4471200	2559.363
4474800	2601.93036
4478400	2612.57221
4482000	2575.32576
4485600	2479.54918
4489200	2202.86129
4492800	1692.05287
4496400	1447.29051
4500000	1331.9962
4503600	1372.53521
4507200	1407.28294
4510800	1517.31741
4514400	1806.8818
4518000	2600.28823
4521600	3341.57307
4525200	3109.92155
4528800	2953.55678
4532400	2826.14845
4536000	2692.94883
4539600	2594.49694
4543200	2536.58406
4546800	2530.79277
4550400	2582.91436
4554000	2652.40982
4557600	2785.60944
